,frequência,local,magnitude
0,100.0,890.3,5153.187473205309
1,100.5,890.3,5180.846550746352
2,1000.0,864.1,26842.7623300505
3,1000.5,864.1,26847.38999860553
4,1001.0,890.1,26852.0157224796
5,1001.5,838.2,26856.63950566901
6,1002.0,890.1,26861.261351744095
7,1002.5,890.1,26865.881264758256
8,1003.0,838.2,26870.499248469223
9,1003.5,838.2,26875.1153066326
10,1004.0,838.2,26879.72944323111
11,1004.5,890.3,26884.34166196979
12,1005.0,890.1,26888.951966817374
13,1005.5,852.2,26893.560361226268
14,1006.0,890.2,26898.166849372174
15,1006.5,838.2,26902.77143496838
16,1007.0,890.2,26907.374121697914
17,1007.5,890.2,26911.974913281058
18,1008.0,864.1,26916.573813896724
19,1008.5,890.2,26921.170826808873
20,1009.0,890.1,26925.7659561855
21,1009.5,890.2,26930.359205657365
22,101.0,890.3,5208.520197014353
23,101.5,838.2,5236.207891298036
24,1010.0,864.1,26934.950579085926
25,1010.5,890.3,26939.54008000693
26,1011.0,838.2,26944.12771247024
27,1011.5,864.1,26948.713480032675
28,1012.0,890.1,26953.2973864851
29,1012.5,890.2,26957.87943564881
30,1013.0,890.1,26962.459631301306
31,1013.5,852.3,26967.037977032596
32,1014.0,890.1,26971.614476779356
33,1014.5,890.1,26976.189134000077
34,1015.0,890.2,26980.761952662495
35,1015.5,890.1,26985.332936452232
36,1016.0,890.2,26989.902089190728
37,1016.5,890.1,26994.46941423249
38,1017.0,864.1,26999.0349156748
39,1017.5,890.1,27003.59859704996
40,1018.0,838.2,27008.160462010866
41,1018.5,890.2,27012.72051447721
42,1019.0,864.1,27017.278757925404
43,1019.5,852.3,27021.83519624867
44,102.0,838.2,5263.909117225011
45,102.5,852.2,5291.6233627969405
46,1020.0,838.2,27026.389832907418
47,1020.5,864.1,27030.942671830122
48,1021.0,890.2,27035.49371652326
49,1021.5,890.1,27040.042970685005
50,1022.0,890.2,27044.590438109502
51,1022.5,890.1,27049.13612249913
52,1023.0,890.2,27053.68002725622
53,1023.5,890.1,27058.222156205546
54,1024.0,890.2,27062.762513129408
55,1024.5,890.1,27067.30110149607
56,1025.0,890.1,27071.837925082913
57,1025.5,890.1,27076.37298753325
58,1026.0,890.1,27080.90629236825
59,1026.5,890.1,27085.43784344082
60,1027.0,890.1,27089.967644219745
61,1027.5,890.1,27094.495698210245
62,1028.0,890.2,27099.022009337292
63,1028.5,890.1,27103.546581261668
64,1029.0,890.2,27108.06941733465
65,1029.5,890.1,27112.59052135005
66,103.0,852.3,5319.350119568564
67,103.5,890.3,5347.088884006671
68,1030.0,890.2,27117.10989677632
69,1030.5,890.1,27121.6275475383
70,1031.0,890.2,27126.143476760895
71,1031.5,890.2,27130.657688572817
72,1032.0,890.2,27135.170186197414
73,1032.5,890.2,27139.680973518873
74,1033.0,890.2,27144.190053950555
75,1033.5,890.2,27148.697431108532
76,1034.0,890.1,27153.203108561203
77,1034.5,890.2,27157.70708998334
78,1035.0,890.3,27162.20937894294
79,1035.5,890.2,27166.70997901486
80,1036.0,890.1,27171.20889367154
81,1036.5,890.1,27175.706126498488
82,1037.0,890.1,27180.20168132903
83,1037.5,890.2,27184.695561449687
84,1038.0,890.2,27189.187770536773
85,1038.5,890.1,27193.67831211902
86,1039.0,890.1,27198.167189662538
87,1039.5,890.1,27202.654406912527
88,104.0,852.3,5374.839156131702
89,104.5,852.3,5402.600440391673
90,1040.0,890.1,27207.139967389234
91,1040.5,890.2,27211.623874533776
92,1041.0,890.2,27216.106131858738
93,1041.5,838.2,27220.58674300644
94,1042.0,890.3,27225.065711509298
95,1042.5,890.2,27229.543040866967
96,1043.0,890.3,27234.018734703335
97,1043.5,890.2,27238.492796303628
98,1044.0,890.2,27242.965229540427
99,1044.5,890.3,27247.43603774747
100,1045.0,890.2,27251.905224323127
101,1045.5,890.1,27256.372792883994
102,1046.0,890.2,27260.838747025467
103,1046.5,890.3,27265.303090162342
104,1047.0,890.3,27269.765826024
105,1047.5,890.2,27274.22695776359
106,1048.0,890.3,27278.686488989995
107,1048.5,890.3,27283.14442334362
108,1049.0,890.2,27287.60076423516
