,frequência,local,magnitude
0,100.0,890.3,5072.968888503735
1,100.5,890.1,5100.305284995818
2,1000.0,864.1,26771.05728546223
3,1000.5,838.2,26775.722013930193
4,1001.0,838.2,26780.384774070026
5,1001.5,864.1,26785.045569866055
6,1002.0,864.1,26789.704405013526
7,1002.5,838.2,26794.361283453305
8,1003.0,864.1,26799.016208966972
9,1003.5,890.1,26803.66918530186
10,1004.0,864.1,26808.320216515483
11,1004.5,864.1,26812.969306265364
12,1005.0,852.3,26817.616458422995
13,1005.5,838.2,26822.261676811533
14,1006.0,852.2,26826.904965229845
15,1006.5,890.1,26831.546327645872
16,1007.0,852.3,26836.185767579573
17,1007.5,890.2,26840.82328897651
18,1008.0,890.2,26845.458895748427
19,1008.5,838.2,26850.092591517256
20,1009.0,838.2,26854.72438014711
21,1009.5,838.2,26859.3542654244
22,101.0,838.2,5127.656999455653
23,101.5,838.2,5155.023517934288
24,1010.0,890.1,26863.98225121777
25,1010.5,890.1,26868.608341167183
26,1011.0,864.1,26873.232539055763
27,1011.5,890.2,26877.854848824467
28,1012.0,890.2,26882.475274025735
29,1012.5,864.1,26887.09381852039
30,1013.0,864.1,26891.710486080345
31,1013.5,838.2,26896.325280433975
32,1014.0,890.2,26900.938205329727
33,1014.5,864.1,26905.549264494777
34,1015.0,890.1,26910.158461725052
35,1015.5,864.1,26914.765800705063
36,1016.0,890.1,26919.37128533857
37,1016.5,890.2,26923.974918978096
38,1017.0,890.2,26928.57670575564
39,1017.5,890.1,26933.176649277797
40,1018.0,890.2,26937.774753032532
41,1018.5,890.2,26942.37102095949
42,1019.0,890.1,26946.965456880636
43,1019.5,890.2,26951.55806413777
44,102.0,852.2,5182.404330740982
45,102.5,838.2,5209.7989322506055
46,1020.0,890.2,26956.148846805943
47,1020.5,890.2,26960.737808379166
48,1021.0,890.1,26965.32495256493
49,1021.5,890.1,26969.91028306779
50,1022.0,890.1,26974.493803688183
51,1022.5,890.2,26979.0755178697
52,1023.0,890.1,26983.655429610288
53,1023.5,838.2,26988.233542305108
54,1024.0,890.1,26992.809859792946
55,1024.5,890.1,26997.384385690926
56,1025.0,890.1,27001.95712371167
57,1025.5,890.2,27006.528077364244
58,1026.0,890.2,27011.09725056478
59,1026.5,890.1,27015.664646705693
60,1027.0,890.1,27020.230269669228
61,1027.5,890.2,27024.794122806135
62,1028.0,890.2,27029.35620997458
63,1028.5,890.1,27033.916534911157
64,1029.0,890.1,27038.475101109507
65,1029.5,890.1,27043.031912162747
66,103.0,864.1,5237.206820618743
67,103.5,852.3,5264.627498381893
68,1030.0,890.1,27047.586971777764
69,1030.5,890.1,27052.140283636738
70,1031.0,890.2,27056.691851174986
71,1031.5,890.2,27061.241678163646
72,1032.0,890.2,27065.789768168448
73,1032.5,890.1,27070.336124811263
74,1033.0,890.1,27074.880751812652
75,1033.5,890.1,27079.4236525339
76,1034.0,890.1,27083.96483080252
77,1034.5,890.1,27088.50429018834
78,1035.0,890.1,27093.042034030237
79,1035.5,890.1,27097.57806624081
80,1036.0,890.1,27102.112390322203
81,1036.5,890.1,27106.645009707012
82,1037.0,890.1,27111.17592817606
83,1037.5,890.2,27115.705149217843
84,1038.0,890.1,27120.232676446234
85,1038.5,890.2,27124.758513351
86,1039.0,890.2,27129.282663519774
87,1039.5,890.1,27133.80513070884
88,104.0,852.3,5292.060472033577
89,104.5,890.3,5319.505252055731
90,1040.0,890.2,27138.32591822985
91,1040.5,890.2,27142.845029779048
92,1041.0,890.2,27147.362468724266
93,1041.5,890.2,27151.87823890261
94,1042.0,852.3,27156.392343788444
95,1042.5,890.1,27160.90478673625
96,1043.0,890.2,27165.415571494916
97,1043.5,890.2,27169.92470146905
98,1044.0,890.2,27174.432180298525
99,1044.5,890.2,27178.938011515227
100,1045.0,890.2,27183.442198565735
101,1045.5,890.2,27187.94474496773
102,1046.0,890.2,27192.44565429286
103,1046.5,890.2,27196.944930168644
104,1047.0,890.2,27201.442575945126
105,1047.5,890.2,27205.938595325177
106,1048.0,890.2,27210.432991526523
107,1048.5,890.1,27214.925768403857
108,1049.0,890.2,27219.41692920343
109,1049.5,890.1,27223.906477514036
110,105.0,852.3,5346.961352798932
111,105.5,890.2,5374.428292592846
112,1050.0,890.1,27228.394416815503
113,1050.5,890.1,27232.880750643344
114,1051.0,890.1,27237.365482584748
115,1051.5,890.2,27241.84861592356
116,1052.0,890.2,27246.33015428513
117,1052.5,890.1,27250.810101129504
118,1053.0,890.2,27255.2884599367
119,1053.5,890.1,27259.765234175724
120,1054.0,838.2,27264.240427381275
121,1054.5,890.1,27268.714042894426
122,1055.0,890.2,27273.18608430405
123,1055.5,890.2,27277.656555057212
124,1056.0,890.2,27282.12545854473
125,1056.5,890.1,27286.592798399855
126,1057.0,890.1,27291.058577893822
127,1057.5,890.2,27295.52280062874
128,1058.0,838.2,27299.98547003419
129,1058.5,890.2,27304.446589445484
130,1059.0,890.2,27308.906162427076
131,1059.5,890.2,27313.36419236701
132,106.0,864.1,5401.905594045048
133,106.5,852.3,5429.392783202509
134,1060.0,890.2,27317.820682707155
135,1060.5,890.2,27322.275636977967
136,1061.0,890.2,27326.72905855432
137,1061.5,890.2,27331.180950798655
138,1062.0,890.2,27335.631317139712
139,1062.5,890.1,27340.080161350794
140,1063.0,890.2,27344.52748647992
141,1063.5,890.2,27348.973296068016
142,1064.0,890.1,27353.41759351329
143,1064.5,890.2,27357.8603822903
144,1065.0,890.1,27362.30166580978
145,1065.5,890.2,27366.741447516353
146,1066.0,890.2,27371.17973062328
147,1066.5,890.2,27375.616518765848
148,1067.0,890.2,27380.051815255294
149,1067.5,890.2,27384.48562359357
150,1068.0,890.2,27388.917947085003
151,1068.5,890.1,27393.348789119365
152,1069.0,864.1,27397.778153168016
153,1069.5,890.2,27402.206042587324
154,107.0,890.2,5456.889390009796
155,107.5,852.3,5484.394948978875
156,1070.0,890.2,27406.632460726116
157,1070.5,890.2,27411.057411033886
158,1071.0,890.2,27415.480896967758
159,1071.5,890.1,27419.902921755012
160,1072.0,890.2,27424.32348883352
161,1072.5,890.2,27428.74260166453
162,1073.0,890.2,27433.160263556754
163,1073.5,890.2,27437.576477848863
164,1074.0,890.2,27441.99124804733
165,1074.5,890.2,27446.40457744059
166,1075.0,890.2,27450.81646938
167,1075.5,890.2,27455.226927311604
168,1076.0,890.1,27459.63595452081
169,1076.5,890.2,27464.043554275067
170,1077.0,890.2,27468.44973019623
171,1077.5,890.1,27472.854485390017
172,1078.0,890.2,27477.257823504933
173,1078.5,890.1,27481.659747606467
174,1079.0,890.2,27486.060261149665
175,1079.5,852.3,27490.459367505657
176,108.0,864.1,5511.9089972064085
177,108.5,890.3,5539.4310766385
178,1080.0,838.2,27494.857070047157
179,1080.5,890.2,27499.25337207415
180,1081.0,890.2,27503.648276834105
181,1081.5,890.2,27508.04178793321
182,1082.0,890.2,27512.4339084391
183,1082.5,890.1,27516.824641820596
184,1083.0,890.2,27521.213991441557
185,1083.5,890.2,27525.60196050799
186,1084.0,890.1,27529.988552459865
187,1084.5,890.2,27534.373770603695
188,1085.0,864.1,27538.75761829366
189,1085.5,890.2,27543.140098801352
190,1086.0,890.2,27547.521215376644
191,1086.5,890.2,27551.90097161015
192,1087.0,864.1,27556.27937058738
193,1087.5,838.2,27560.656415674963
194,1088.0,864.1,27565.03211014797
195,1088.5,864.1,27569.40645753328
196,1089.0,864.1,27573.77946079754
197,1089.5,864.1,27578.15112356899
198,109.0,890.3,5566.960732693935
199,109.5,890.3,5594.497514293889
200,1090.0,864.1,27582.521448983807
201,1090.5,838.2,27586.890440379666
202,1091.0,864.1,27591.2581009789
203,1091.5,864.1,27595.624434211957
204,1092.0,864.1,27599.989443504717
205,1092.5,864.1,27604.35313175117
206,1093.0,864.1,27608.715502662715
207,1093.5,864.1,27613.076559385892
208,1094.0,864.1,27617.436305077328
209,1094.5,864.1,27621.7947432478
210,1095.0,864.1,27626.151876954962
211,1095.5,864.1,27630.507709676614
212,1096.0,864.1,27634.86224470206
213,1096.5,864.1,27639.215485116387
214,1097.0,864.1,27643.567434368528
215,1097.5,890.1,27647.918095879526
216,1098.0,890.1,27652.267472658223
217,1098.5,890.1,27656.615568122175
218,1099.0,890.1,27660.962385550698
219,1099.5,864.1,27665.30792809995
220,110.0,890.3,5622.040974466728
221,110.5,838.2,5649.590669923131
222,1100.0,890.1,27669.65219914766
223,1100.5,890.1,27673.99520198285
224,1101.0,890.2,27678.336939845824
225,1101.5,890.2,27682.677415926835
226,1102.0,890.1,27687.016633684514
227,1102.5,890.2,27691.354596206453
228,1103.0,890.2,27695.691306852652
229,1103.5,890.2,27700.02676875533
230,1104.0,890.2,27704.360985499552
231,1104.5,890.1,27708.69395981688
232,1105.0,890.1,27713.02569551805
233,1105.5,890.1,27717.356195503085
234,1106.0,864.1,27721.68546322378
235,1106.5,864.1,27726.013501804086
236,1107.0,890.3,27730.34031448458
237,1107.5,890.2,27734.66590468062
238,1108.0,890.1,27738.990275532855
239,1108.5,852.3,27743.31343023065
240,1109.0,864.1,27747.635372182074
241,1109.5,864.1,27751.95610449758
242,111.0,890.3,5677.1461606117755
243,111.5,890.3,5704.70701062195
244,1110.0,864.1,27756.27563044191
245,1110.5,864.1,27760.59395329802
246,1111.0,864.1,27764.911076303073
247,1111.5,864.1,27769.22700271236
248,1112.0,864.1,27773.54173573736
249,1112.5,890.2,27777.85527862652
250,1113.0,864.1,27782.167634675126
251,1113.5,852.3,27786.478807103173
252,1114.0,838.2,27790.78879895811
253,1114.5,852.2,27795.09761377355
254,1115.0,838.2,27799.40525454135
255,1115.5,864.1,27803.711724603283
256,1116.0,852.2,27808.017027127065
257,1116.5,864.1,27812.32116541785
258,1117.0,864.1,27816.624142697925
259,1117.5,864.1,27820.925962226243
